DATA,FORNECEDOR,DESTINO,ESTADO/MUNICIPIO,TIPO,QUANTIDADE,VALOR,DESTINATARIO,UF,,DATA DE ENTREGA
16/05/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,11,531190,SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO,RJ,,18/05/2020
16/05/2020,KTK,RIO DE JANEIRO,ESTADO,UTI,10,600000,FIOCRUZ ,RJ,,18/05/2020
17/05/2020,LEISTUNG,RIO DE JANEIRO,ESTADO,UTI,10,600000,HOSPITAL GERAL DO BOM SUCESSO,RJ,,18/05/2020
17/05/2020,LEISTUNG,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO,RJ,,18/05/2020
24/05/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,50,1000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,,25/05/2020
24/05/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,26,520000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,,25/05/2020
24/05/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,24,480000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,,25/05/2020
24/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,51,2462790,FIOCRUZ ,RJ,,25/05/2020
24/05/2020,LEISTUNG/VYAIRE,RIO DE JANEIRO,ESTADO,UTI,20,1200000,LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA,RJ,,25/05/2020
24/05/2020,KTK,RIO DE JANEIRO,ESTADO,UTI,10,600000,LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA,RJ,,25/05/2020
24/05/2020,KTK/VAYIRE,RIO DE JANEIRO,ESTADO,UTI,5,300000,LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA,RJ,,25/05/2020
29/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,10,482900,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,,30/05/2020
29/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,90,4346100,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,,30/05/2020
29/05/2020,KTK,RIO DE JANEIRO,ESTADO,UTI,30,1800000,FIOCRUZ ,RJ,,30/05/2020
31/05/2020,WEG,RIO DE JANEIRO,ESTADO,UTI,15,900000,LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA,RJ,,01/06/2020
31/05/2020,LEISTUNG,RIO DE JANEIRO,ESTADO,UTI,50,3000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,,01/06/2020
31/05/2020,LEISTUNG,RIO DE JANEIRO,ESTADO,UTI,50,3000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,,01/06/2020
08/06/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,50,1000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,,08/06/2020
08/06/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,50,1000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,,08/06/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,Secretaria Municipal de Saúde (BELFORD ROXO),RJ,,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,Secretaria Municipal de Saúde (BELFORD ROXO),RJ,,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,Secretaria Municipal de Saúde (DUQUE DE CAXIAS),RJ,,30/06/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,Secretaria Municipal de Saúde (DUQUE DE CAXIAS),RJ,,30/06/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,Secretaria Municipal de Saúde (ITAGUAÍ),RJ,,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saúde (ITAGUAÍ),RJ,,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,Secretaria Municipal de Saúde (MAJÉ),RJ,,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,Secretaria Municipal de Saúde (MAJÉ),RJ,,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,241450,Secretaria Municipal de Saúde (NITÉROI),RJ,,30/06/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,Secretaria Municipal de Saúde (NITÉROI),RJ,,30/06/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,241450,Secretaria Municipal de Saúde (NOVA FRIBURGO),RJ,,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,Secretaria Municipal de Saúde (NOVA FRIBURGO),RJ,,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,Secretaria Municipal de Saúde (NOVA IGUAÇU),RJ,,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,Secretaria Municipal de Saúde (NOVA IGUAÇU),RJ,,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,1,48290,Secretaria Municipal de Saúde (PARACAMBI),RJ,,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saúde (PARACAMBI),RJ,,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,1,48290,Secretaria Municipal de Saúde (QUEIMADOS),RJ,,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saúde (QUEIMADOS),RJ,,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,4,193160,Secretaria Municipal de Saúde (RIO BONITO),RJ,,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,4,240000,Secretaria Municipal de Saúde (RIO BONITO),RJ,,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,8,386320,Secretaria Municipal de Saúde (SÃO JOÃO DO MERETI),RJ,,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,7,420000,Secretaria Municipal de Saúde (SÃO JOÃO DO MERETI),RJ,,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,241450,Secretaria Municipal de Saúde (VOLTA REDONDA),RJ,,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,Secretaria Municipal de Saúde (VOLTA REDONDA),RJ,,02/07/2020
07/07/2020,WEG,RIO DE JANEIRO,MUNICIPIO,UTI,10,600000,Hospital Doutor Luiz Palmier,RJ,,10/07/2020
07/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,10,482900,Hospital Doutor Luiz Palmier,RJ,,10/07/2020
07/07/2020,WEG,RIO DE JANEIRO,MUNICIPIO,UTI,40,2400000,HOSPITAL DE CAMPANHA COVID 19 SAO GONCALO,RJ,,10/07/2020
07/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,40,1931600,HOSPITAL DE CAMPANHA COVID 19 SAO GONCALO,RJ,,10/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,CARAPEBUS - Secretaria Municipal de Saúde,RJ,,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,CASIMIRO DE ABREU - Secretaria Municipal de Saúde,RJ,,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,GUAPIMIRIM - Secretaria Municipal de Saúde,RJ,,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,ITABORAÍ - Secretaria Municipal de Saúde,RJ,,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,MANGARATIBA - Secretaria Municipal de Saúde,RJ,,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,241450,RESENDE - Secretaria Municipal de Saúde,RJ,,15/07/2020
10/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,RESENDE - Secretaria Municipal de Saúde,RJ,,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,RIO BONITO - Secretaria Municipal de Saúde,RJ,,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,RIO DAS OSTRAS - Secretaria Municipal de Saúde,RJ,,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,SÃO JOÃO DA BARRA - Secretaria Municipal de Saúde,RJ,,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,SÃO PEDRO DA ALDEIA - Secretaria Municipal de Saúde,RJ,,15/07/2020
17/07/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,5,300000,RIO DE JANEIRO - Secretaria Estadual de Saúde  ,RJ,,21/07/2020
17/07/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,8,160000,RIO DE JANEIRO - Secretaria Estadual de Saúde  ,RJ,,21/07/2020
17/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,ARARUAMA -  Secretaria Municipal de Saúde ,RJ,,22/07/2020
17/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,10,200000,ARARUAMA -  Secretaria Municipal de Saúde ,RJ,,22/07/2020
17/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,8,160000,CARAPEBUS -  Secretaria Municipal de Saúde ,RJ,,22/07/2020
17/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,NOVA IGUACU -  Secretaria Municipal de Saúde ,RJ,,21/07/2020
17/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,100000,NOVA IGUACU -  Secretaria Municipal de Saúde ,RJ,,21/07/2020
24/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,6,360000,CAMPOS DOS GOYTACAZES - Secretaria Municipal de Saúde ,RJ,,31/07/2020
24/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,CAMPOS DOS GOYTACAZES - Secretaria Municipal de Saúde ,RJ,,31/07/2020
24/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,6,120000,CAMPOS DOS GOYTACAZES - Secretaria Municipal de Saúde ,RJ,,31/07/2020
24/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,100000,CAMPOS DOS GOYTACAZES - Secretaria Municipal de Saúde ,RJ,,31/07/2020
24/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,1,60000,SÃO JOSE DO VALE DO RIO PRETO - Secretaria Municipal de Saúde ,RJ,,31/07/2020
24/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,100000,SÃO JOSE DO VALE DO RIO PRETO - Secretaria Municipal de Saúde ,RJ,,31/07/2020
24/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,TERESOPOLIS - Secretaria Municipal de Saúde ,RJ,,31/07/2020
24/07/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,40000,TERESOPOLIS - Secretaria Municipal de Saúde ,RJ,,31/07/2020
10/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,SMS de Campos dos Goytacazes ,RJ,,13/08/2020
10/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,3,180000,SMS de Campos dos Goytacazes ,RJ,,13/08/2020
14/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,SMS de SANTO ANTONIO DE PADUA,RJ,,17/08/2020
14/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,3,180000,SMS de SANTO ANTONIO DE PADUA,RJ,,17/08/2020
14/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,SMS de SAQUAREMA,RJ,,17/08/2020
14/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,3,180000,SMS de SAQUAREMA,RJ,,17/08/2020
14/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,SMS de SAO FIDELIS,RJ,,17/08/2020
14/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,3,180000,SMS de SAO FIDELIS,RJ,,17/08/2020
14/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,SMS de RIO BONITO,RJ,,17/08/2020
14/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,3,180000,SMS de RIO BONITO,RJ,,17/08/2020
14/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,241450,SMS de PORTO REAL,RJ,,17/08/2020
14/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,SMS de PORTO REAL,RJ,,17/08/2020
21/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,SMS de ITABORAI,RJ,,24/08/2020
21/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,7,420000,SMS de ITABORAI,RJ,,24/08/2020
21/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,SMS de PORCIUNCULA,RJ,,24/08/2020
21/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,1,60000,SMS de PORCIUNCULA,RJ,,24/08/2020
21/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,SMS de APERIBE,RJ,,24/08/2020
21/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,SMS de APERIBE,RJ,,24/08/2020
21/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,SMS de LAJE DO MURIAE,RJ,,24/08/2020
21/08/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,SMS de LAJE DO MURIAE,RJ,,24/08/2020
27/08/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,UTI,6,360000,SMS de SAO JOAO DE MERITI,RJ,,31/08/2020
03/09/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,UTI,3,180000,SMS de NATIVIDADE,RJ,,06/09/2020
04/09/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,UTI,18,1080000,SMS de RIO DE JANEIRO,RJ,,11/09/2020
04/09/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,4,80000,SMS de RIO DE JANEIRO,RJ,,11/09/2020
04/09/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,20,1200000,SMS de RIO DE JANEIRO,RJ,,11/09/2020
04/09/2020,KTK,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,6,120000,SMS de RIO DE JANEIRO,RJ,,11/09/2020
24/09/2020,VYAIRE LTV 2200 USA,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE USA,5,315629,SMS de AREAL,RJ,,29/09/2020
24/09/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,6,360000,SMS de MIRACEMA,RJ,,29/09/2020
22/05/2020,KTK,ALAGOAS,ESTADO,UTI,15,900000,Secretaria Estadual de Saúde,AL,,24/05/2020
22/05/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,15,724350,Secretaria Estadual de Saúde,AL,,24/05/2020
04/06/2020,VYAIRE,ALAGOAS,ESTADO,UTI,20,1200000,Secretaria Estadual de Saúde,AL,,06/06/2020
04/06/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,17,820930,Secretaria Estadual de Saúde,AL,,06/06/2020
04/06/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,3,144870,Secretaria Estadual de Saúde,AL,,06/06/2020
16/06/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,50,2414500,Secretaria Estadual de Saúde,AL,,18/06/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saúde (BELO MONTE),AL,,01/07/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saúde (MAJOR IZIDORO),AL,,30/06/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saúde (MARAVILHA),AL,,01/07/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saúde (MARIBONDO) ,AL,,30/06/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saúde (PASSO DO CAMARAGIBE),AL,,30/06/2020
26/06/2020,MAGNAMED,ALAGOAS,MUNICIPIO,TRANSPORTE,5,241450,Secretaria Municipal de Saúde (SANTANA DO IPANEMA),AL,,01/07/2020
26/06/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,5,300000,Secretaria Municipal de Saúde (SANTANA DO IPANEMA),AL,,01/07/2020
01/07/2020,MAGNAMED,ALAGOAS,ESTADO,TRANSPORTE,10,482900,Secretaria Estadual de Saúde (Hospital da Mulher Dra. Nise da Silveira),AL,,03/07/2020
01/07/2020,VYAIRE,ALAGOAS,ESTADO,UTI,30,1800000,Secretaria Estadual de Saúde (Hospital da Mulher Dra. Nise da Silveira),AL,,03/07/2020
04/07/2020,VYAIRE,ALAGOAS,ESTADO ,UTI,10,600000,Secretaria Estadual de Saúde,AL,,06/07/2020
17/07/2020,VYAIRE,ALAGOAS,ESTADO,UTI,7,420000,MACEIÓ - Secretaria Estadual de Saúde ,AL,,31/07/2020
17/07/2020,KTK,ALAGOAS,ESTADO,TRANSPORTE,13,260000,MACEIÓ - Secretaria Estadual de Saúde ,AL,,31/07/2020
17/07/2020,VYAIRE,ALAGOAS,MUNICIPIO,UTI,7,420000,ARAPIRACA - Secretaria Municipal de Saúde ,AL,,31/07/2020
17/07/2020,KTK,ALAGOAS,MUNICIPIO,TRANSPORTE,8,160000,ARAPIRACA - Secretaria Municipal de Saúde ,AL,,31/07/2020
24/07/2020,KTK,ALAGOAS,MUNICIPIO,TRANSPORTE,2,40000,PALMEIRA DOS INDIOS - Secretaria Municipal de Saúde ,AL,,07/08/2020
14/08/2020,MAGNAMED,ALAGOAS,MUNICIPIO,TRANSPORTE,2,96580,SMS DE  SAO JOSE DA TAPERA,AL,,18/08/2020
21/08/2020,MAGNAMED,ALAGOAS,MUNICIPIO,TRANSPORTE,1,48290,SECR MUN DE SAUDE DE DELMIRO GOUVEIA  AL,AL,,26/08/2020
02/10/2020,KTK,ALAGOAS,MUNICIPIO,TRANSPORTE,3,60000,SECR MUN DE SAUDE DE MARAGOGI  AL,AL,,05/10/2020
02/10/2020,KTK,ALAGOAS,MUNICIPIO,TRANSPORTE,8,160000,SECR MUN DE SAUDE DE MARAGOGI  AL,AL,,05/10/2020
30/05/2020,WEG,BAHIA,ESTADO,UTI,30,1800000,Secretaria Estadual de Saúde,BA,,01/06/2020
30/05/2020,MAGNAMED,BAHIA,ESTADO,TRANSPORTE,30,1448700,Secretaria Estadual de Saúde,BA,,01/06/2020
04/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,10,482900,SALVADOR - Secretaria Municipal de Saúde,BA,,06/06/2020
04/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,10,600000,SALVADOR - Secretaria Municipal de Saúde,BA,,06/06/2020
04/06/2020,VYAIRE,BAHIA,ESTADO,UTI,40,2400000,Secretaria Estadual de Saúde,BA,,05/06/2020
07/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,20,1200000,SALVADOR - Secretaria Municipal de Saúde,BA,,09/06/2020
07/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,10,600000,SALVADOR - Secretaria Municipal de Saúde,BA,,09/06/2020
07/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,30,1448700,SALVADOR - Secretaria Municipal de Saúde,BA,,09/06/2020
08/06/2020,WEG,BAHIA,MUNICIPIO,UTI,10,600000,Barreiras (Hospital do Oeste de Barriras),BA,,10/06/2020
08/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2,96580,Barreiras (Hospital do Oeste de Barriras),BA,,10/06/2020
08/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,1,48290,Barreiras (Hospital do Oeste de Barriras),BA,,10/06/2020
12/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,4,240000,Secretaria Municipal de Saúde (Feira de Santana),BA,,14/06/2020
12/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,3,144870,Secretaria Municipal de Saúde (Feira de Santana),BA,,14/06/2020
16/06/2020,MAGNAMED,BAHIA,ESTADO,TRANSPORTE,27,1303830,Secretaria Estadual de Saúde,BA,,17/06/2020
16/06/2020,VYAIRE,BAHIA,ESTADO,UTI,27,1620000,Secretaria Estadual de Saúde,BA,,17/06/2020
26/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,1,48290,Secretaria Municipal de Saúde (CASA NOVA),BA,,01/07/2020
26/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saúde (CASA NOVA),BA,,01/07/2020
26/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,1,48290,Secretaria Municipal de Saúde (ITAMARAJU),BA,,01/07/2020
26/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saúde (ITAMARAJU),BA,,01/07/2020
26/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,10,482900,Secretaria Municipal de Saúde  (JACOBINA),BA,,27/06/2020
26/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,10,600000,Secretaria Municipal de Saúde  (JACOBINA),BA,,27/06/2020
26/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2,96580,Secretaria Municipal de Saúde (JUAZEIRO),BA,,01/07/2020
26/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,2,120000,Secretaria Municipal de Saúde (JUAZEIRO),BA,,01/07/2020
26/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,2,96580,Secretaria Municipal de Saúde (MATA DO SÃO JOÃO),BA,,01/07/2020
26/06/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,2,120000,Secretaria Municipal de Saúde (MATA DO SÃO JOÃO),BA,,01/07/2020
26/06/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,20,965800,Secretaria Municipal de Saúde (SERRINHA),BA,,01/07/2020
04/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,10,600000,Secretaria Municipal de Saúde (ITABUNA),BA,,07/07/2020
04/07/2020,KTK,BAHIA,MUNICIPIO,TRANSPORTE,5,100000,Secretaria Municipal de Saúde (ITABUNA),BA,,07/07/2020
07/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,5,300000,Juazeiro - Pró-Mater,BA,,13/07/2020
07/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,5,241450,Juazeiro - Pró-Mater,BA,,13/07/2020
07/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,3,180000,Paulo Afonso - Nair Alves,BA,,14/07/2020
07/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,4,193160,Paulo Afonso - Nair Alves,BA,,14/07/2020
07/07/2020,VYAIRE,BAHIA,MUNICIPIO,UTI,5,300000,SALVADOR - HOSPITAL DA SAGRADA FAMILIA,BA,,13/07/2020
07/07/2020,MAGNAMED,BAHIA,MUNICIPIO,TRANSPORTE,5,241450,SALVADOR - HOSPITAL DA SAGRADA FAMILIA,BA,,13/07/2020
